Internal_Site_ID,Kabupaten/Kota,CityCode,RegionalCode,Alamat1,Alamat2,Alamat3,Alamat4,SiteName,Funcloc
DOB-11-013,Kabupaten Kepulauan Aru,DOB,11,"DESA JEDAN,PROVINSI MALUKU",KAKAROTAN,KAKAROTAN,KEPULAUAN ARU,GOODMAN-RICHARDSON,100000005695
DOB-11-014,Kabupaten Kepulauan Aru,DOB,11,"DESA PANAMBULAI, PROVINSI MALUKU",PANAMBULAI,PANAMBULAI,KEPULAUAN ARU,WILLIAMS LTD,100000005701
DPK-04-001,Kota Depok,DPK,4,JL. PASIR PUTIJ RT 01 RW 01,"KEL. PASIR PUTIH,",KEC. SAWANGAN,"DEPOK, KOTA",BUTLER AND SONS,100000000209
DPK-04-002,Kota Depok,DPK,4,JL. USMAN DEHIR RT 001/01,LIMO,KEC. LIMO,"DEPOK, KOTA","NORMAN, BENNETT AND FORD",100000000213
DPK-04-003,Kota Depok,DPK,4,JL. KH. M. USMAN NO. 4 RT. 05/02,KEL. KUKUSAN,KEC. BEJI,"DEPOK, KOTA",NEAL AND SONS,100000000218
DPK-04-004,Kota Depok,DPK,4,JL. KARTINI RAYA RUKO KARTINI,KELURAHAN DEPOK,KECAMATAN PANCORAN MAS,"DEPOK, KOTA",ROBERSON PLC,100000001689
DPK-04-005,Kota Depok,DPK,4,GANDUL RAYA,GANDUL RAYA,KEC. LIMO,"DEPOK, KOTA",JOHNSON-WALKER,100000001691
DPK-04-006,Kota Depok,DPK,4,JL. RAWA BENGKOK KP. PERIGI,KEL BEDAHAN,KEC SAWANGAN,"DEPOK, KOTA",SANCHEZ PLC,100000001692
DPK-04-007,Kota Depok,DPK,4,JL. KRANGGAN PERMAI RT 04/ RW 06,PONDOK HARJAMUKTI,CIMANGGIS,"DEPOK, KOTA",SCHNEIDER-VEGA,100000004612
DPK-04-008,Kota Depok,DPK,4,JL.TUMARITIS II KP KALIMANGGIS RT 04/05,"KEL HARJAMUKTI,",CIMANGGIS,"DEPOK, KOTA","MORRIS, REYNOLDS AND RUSSELL",100000004828
DPK-04-009,Kota Depok,DPK,4,JL. PANGKALAN JATI,PANGKALAN JATI,CINERE,"DEPOK, KOTA",COLLINS-WASHINGTON,100000005373
DPK-04-010,Kota Depok,DPK,4,KP. SUGU TAMU RT.02 RW.22,KEL. MEKAR JAYA,KEC. SUKMAJAYA,"DEPOK, KOTA",MATTHEWS LLC,100000007329
DPK-04-011,Kota Depok,DPK,4,"JL. PAKIS RT 05 RW 03,",KEL. RANGKAPAN JAYA BARU,KEC. PANCORAN MAS,"DEPOK, KOTA","PALMER, CLARK AND COLEMAN",100000007823
DPK-04-012,Kota Depok,DPK,4,"GG.LESTARI RT.1/3,",KEL.KEDAUNG,DEPOK,"DEPOK, KOTA",ORTIZ-VARGAS,100000007825
DPK-04-013,Kota Depok,DPK,4,JL. NUSANTARA DEPOK,"KEL. DEPOK,","KEC. DEPOK,","DEPOK, KOTA",JONES LTD,100000012512
DPK-04-014,Kota Depok,DPK,4,KP. BANJARAN PUCUNG RT 02 RW 05,KEL. CILANGKAP,KEC. CIMANGGIS,"DEPOK, KOTA","MITCHELL, PHILLIPS AND WHITE",100000014554
DPK-04-015,Kota Depok,DPK,4,JL. SITU PENGASINAN RT.02 RW.01,KEL. PENGASINAN,KECAMATAN SAWANGAN,"DEPOK, KOTA",SUAREZ-ROBINSON,100000014555
DPK-04-016,Kota Depok,DPK,4,JL.PASIR PUTIH RT.02/02 KEL.PASIR PUTIH,PASIR PUTIH,SAWANGAN,"DEPOK, KOTA","HAMILTON, RIVAS AND HOLLOWAY",100000058752
DPK-04-017,Kota Depok,DPK,4,JL.PALARAYA NO.57 RT.04/05 KEL.CINANGKA,CINANGKA,SAWANGAN,"DEPOK, KOTA","JONES, RODRIGUEZ AND RYAN",100000058902
DPR-08-001,Kota Denpasar,DPR,8,"JL. PULAU MALUKU GG. IV, BR. PELITASARI",PELITASARI,DESA PEKRAMAN,"DENPASAR, KOTA",ADAMS-ALLEN,100000001707
DPR-08-002,Kota Denpasar,DPR,8,JL. RAYA PENEBEL,DUSUN PENEBEL,KEC. PENEBEL,"DENPASAR, KOTA",DAVIS INC,100000001709
DPR-08-003,Kota Denpasar,DPR,8,JL. TEUKU UMAR (BELAKANG HOTEL FAVE),"KEL. DENPASAR,","KEC. DENPASAR,","DENPASAR, KOTA","MCKINNEY, CASTILLO AND PAYNE",100000014557
DPR-08-004,Kota Denpasar,DPR,8,JL. PENDIDIKAN 2RT 013/RW 02,KELURAHAN JATIMULYA DEPOK,KEC. DENPASAR SELATAN,"DENPASAR, KOTA","ROMERO, BAKER AND NEWMAN",100000014558
DPR-08-005,Kota Denpasar,DPR,8,JL.GN TANGKUBAN PERAHU BANJAR SUMBU KAJA,DESA PADANG SAMBEAN KEL. OD,"KEC. DENPASAR,","DENPASAR, KOTA","BENNETT, EDWARDS AND WILLIAMS",100000014559
DPR-08-006,Kota Denpasar,DPR,8,JL. TUKAD NYALI,KEL. SANUR KAJA,KEC. DENPASAR SELATAN,"DENPASAR, KOTA","HESS, SHELTON AND MEDINA",100000014560
DPR-08-007,Kota Denpasar,DPR,8,JL. TUKAD PAKERISAN BEKUL,KEL. PANJER,KEC. DENPASAR SELATAN,"DENPASAR, KOTA",WILLIAMS LTD,100000014561
DPR-08-008,Kota Denpasar,DPR,8,JL. RAYA SESETAN KOMPLEKS SESETAN AGUNG,KEL. SESETAN,KEC. DENPASAR SELATAN,"DENPASAR, KOTA",SIMPSON LTD,100000014562
DPR-08-009,Kota Denpasar,DPR,8,SALON MOBIL TAKITAMA JL. IMAM BONJOL,"KEL. PAMECUTAN KELOD,",BANJAR TENTEN,"DENPASAR, KOTA","PRICE, ORR AND MORGAN",100000014563
DPR-08-010,Kota Denpasar,DPR,8,JL.MARUTI,KEL.DAUH PURI KAJA,KEC.DENPASAR UTARA,"DENPASAR, KOTA",VARGAS LTD,100000014564
DPR-08-011,Kota Denpasar,DPR,8,JLN. IMAM BONJODESA BANJAR TEGAL GEDE,KEL. PEMECUTAN KELUD.,KEC. DENPASAR BARAT,"DENPASAR, KOTA","FLORES, QUINN AND NICHOLS",100000014566
DPR-08-012,Kota Denpasar,DPR,8,JL. RAMPAI,DESA DARIPURI KANGIN,KEC. DENPASAR UTARA,"DENPASAR, KOTA",ALVAREZ AND SONS,100000014568
DPR-08-013,Kota Denpasar,DPR,8,"BR. TEGAL SARI, DSN TANJUNG,","DESA SANUR KAUH,",KEC. DENPASAR BARAT,"DENPASAR, KOTA",MARTINEZ LTD,100000014569
DPU-08-001,Kabupaten Dompu,DPU,8,"JL. RAYA DOMPU-KILO, DS. MUHAJIRIN,","DS. NUSAJAYA,",KEC. MANGGALEWA,DOMPU,EDWARDS-MARTIN,100000000224
DPU-08-002,Kabupaten Dompu,DPU,8,"JL. JAYA MAHE,","DS. RANGGO,",KEC. PAJO,DOMPU,"JENNINGS, CARDENAS AND COMBS",100000000225
DPU-08-003,Kabupaten Dompu,DPU,8,PASAR SELASA KADINDI ATAS,PASAR SELASA,KC.PEKAT,DOMPU,KING-BOWERS,100000000226
DPU-08-004,Kabupaten Dompu,DPU,8,"JL. LINTAS CAELABAI, DSN KESI RT04 RW02",DESA TOLOKALO,KEC.KEMPO,DOMPU,"PROCTOR, THOMPSON AND MULLEN",100000000227
DPU-08-005,Kabupaten Dompu,DPU,8,DUSUN NAPA RT.04 RW.01,"DESA NANGGATUMPU,",KEC.MANGGALEWA,DOMPU,KELLY GROUP,100000000228
DPU-08-006,Kabupaten Dompu,DPU,8,"JL. DS. MADAMINA RT02,","DS. MUMBU,","KEC. WOJA,",DOMPU,CAMPBELL-SHAW,100000001720
DPU-08-007,Kabupaten Dompu,DPU,8,"I RT.03 DEDA KARAMAPURA,",DUSUN KARAMAPURA,KEC.DOMPU,DOMPU,JOHNSTON LTD,100000001721
DPU-08-008,Kabupaten Dompu,DPU,8,JLN. KRAMAPURA RT.05,DS. OO BARAT,KEC. DOMPU,DOMPU,BROWN-SMITH,100000001722
DPU-08-009,Kabupaten Dompu,DPU,8,JL. LINTAS KEMPO,KEMPO,KEMPO,DOMPU,HARRIS INC,100000012580
DPU-08-010,Kabupaten Dompu,DPU,8,"JL. SO JAMBU III,","DESA JAMBU,","KEC. PAJO,",DOMPU,SULLIVAN-COLLINS,100000014570
DPU-08-011,Kabupaten Dompu,DPU,8,"JL. DSN RASABOU RT023/11, TANJU","DS. SORIUTU,",KEC. MANGGALEWA,DOMPU,"KELLEY, NICHOLS AND MARTIN",100000014571
DPU-08-012,Kabupaten Dompu,DPU,8,"TEKASIRE,RT02,RW.07",DESA TEKASIRE,KEC MANGGELEWA,DOMPU,"SMITH, HARTMAN AND JONES",100000014572
DRB-10-001,Kabupaten Pulau Morotai,DRB,10,DESA MOMOJIU,DESA MOMOJIU,KEC. MOROTAI SELATAN,PULAU MOROTAI,LEACH-MILLER,100000002562
DRB-10-002,Kabupaten Pulau Morotai,DRB,10,"DESA SANGOWO, KECAMATAN MOROTAI SELATAN",DESA SANGOWO,KEC. MOROTAI SELATAN,PULAU MOROTAI,HAMPTON INC,100000005654
DRB-10-003,Kabupaten Pulau Morotai,DRB,10,DUSUN AHA,AHA,MOROTAI SELATAN,PULAU MOROTAI,"SALINAS, HARRIS AND RICHARDSON",100000005660
DRH-11-001,Kabupaten Seram Bagian Barat,DRH,11,JL. LAHAN,DESA KOBISONTA,KEC SERAM UTARA,SERAM BAGIAN BARAT,BAILEY-BATES,100000000229
DRH-11-002,Kabupaten Seram Bagian Barat,DRH,11,"JL. H. MARIAMA RT 04,",DESA WAESALA,KEC. WAESALA,SERAM BAGIAN BARAT,"WILLIS, PATEL AND BROWN",100000001723
DRH-11-003,Kabupaten Seram Bagian Barat,DRH,11,DUSUN TELAGA,DESA PIRU,KEC SERAM BARAT,SERAM BAGIAN BARAT,"SANDERS, WALLACE AND BLANKENSHIP",100000001724
DRH-11-004,Kabupaten Seram Bagian Barat,DRH,11,DUSUN AIR PAPAYA,DESA IHA,KEC. SERAM BARAT,SERAM BAGIAN BARAT,BRYANT INC,100000004951
DRH-11-005,Kabupaten Seram Bagian Barat,DRH,11,"JL. TRANS SERAM NEGERI ELPA PUTIH,",ELAP PUTIH,KEC. ELAP PUTIH,SERAM BAGIAN BARAT,COPELAND-DONOVAN,100000005051
DRH-11-006,Kabupaten Seram Bagian Barat,DRH,11,DSN TANAH GOYANG RT. 04,DESA LOKI,KEC HUAMUAL,SERAM BAGIAN BARAT,TERRELL GROUP,100000014573
DRH-11-007,Kabupaten Seram Bagian Barat,DRH,11,DESA TIHU KEC.HUAMUAL BELAKANG,DS TIHU,HUAMUAL BELAKANG,SERAM BAGIAN BARAT,NORMAN AND SONS,100000058863
DTH-11-001,Kabupaten Seram Bagian Timur,DTH,11,JL. WAILOLA,DESA. BULA,KEC. BULA,SERAM BAGIAN TIMUR,TAYLOR-SMALL,100000000230
DTH-11-002,Kabupaten Seram Bagian Timur,DTH,11,DESA ATIAHU,DESA ATIAHU,KEC.SIWALALAT,SERAM BAGIAN TIMUR,"SHORT, JONES AND FRAZIER",100000001726
DTH-11-003,Kabupaten Seram Bagian Timur,DTH,11,"JL. LINTAS SERAM, DUSUN GULI-GULI,",DESA URUNG,KEC.SERAM TIMUR,SERAM BAGIAN TIMUR,RIVAS-WEBB,100000001727
DTH-11-004,Kabupaten Seram Bagian Timur,DTH,11,"DESA WERMAF,  PROVINSI MALUKU",WERMAF,WERMAF,SERAM BAGIAN TIMUR,"GARCIA, MENDEZ AND NGUYEN",100000005680
DTH-11-005,Kabupaten Seram Bagian Timur,DTH,11,"DESA WAWASA, PROVINSI MALUKU",WAWASA,WAWASA,SERAM BAGIAN TIMUR,"LARSON, BRYAN AND BROWN",100000005681
DTH-11-006,Kabupaten Seram Bagian Timur,DTH,11,"DESA TAMHER TIMUR, PROVINSI MALUKU","KEL. KASUI,","KECAMATAN KASUI,",SERAM BAGIAN TIMUR,"MARTINEZ, WALKER AND GREENE",100000005686
DTH-11-007,Kabupaten Seram Bagian Timur,DTH,11,"DESA MIRAN, PROVINSI MALUKU",MIRAN,MIRAN,SERAM BAGIAN TIMUR,TAYLOR INC,100000005687
DTH-11-008,Kabupaten Seram Bagian Timur,DTH,11,"NEGERI HOTE,","NEGERI HOTE,",KEC. BULA BARAT,SERAM BAGIAN TIMUR,THOMPSON GROUP,100000005799
DTH-11-009,Kabupaten Seram Bagian Timur,DTH,11,BANGGOI,BANGGOI,KEC. BULA BARAT,SERAM BAGIAN TIMUR,"MOORE, ANDERSON AND RYAN",100000005800
DTH-11-010,Kabupaten Seram Bagian Timur,DTH,11,"DESA P PANJANG, PROVINSI MALUKU","KEL. PULAU PANJANG,","KECAMATAN PULAU PANJANG,",SERAM BAGIAN TIMUR,"CHAVEZ, LEE AND SHELTON",100000015731
DTH-11-011,Kabupaten Seram Bagian Timur,DTH,11,JL.TRANS SERAM DESA UPT JAKARTA BARU,DS UPT JAKARTA BARU,BULA BARAT,SERAM BAGIAN TIMUR,DAVIS-MATTHEWS,100000058825
DUM-02-001,Kota Dumai,DUM,2,JL. OMBAK GG SEKAR RT 3,KEL. SIMPANG TETAP,KEC. DUMAI BARAT,"DUMAI, KOTA",SHERMAN-FLETCHER,100000004093
DUM-02-002,Kota Dumai,DUM,2,JL.NYUT NYAK DIEN,KEL. BANGSAL ACEH,KEC. SUNGAI SEMBILAN,"DUMAI, KOTA",EVANS-BARRETT,100000006871
DUM-02-003,Kota Dumai,DUM,2,JL BARU BLOK C RT 21,KEL BUKIT KAYU KAPUR,KEC BUKIT KAPUR,"DUMAI, KOTA","WAGNER, AGUIRRE AND ROWE",100000014116
DUM-02-004,Kota Dumai,DUM,2,JL. OMBAK GG SEKAR RT 3,KEL SIMPANG TETAP,KEC DUMAI BARAT,"DUMAI, KOTA",JOHNSON-MILLER,100000014574
END-08-001,Kabupaten Ende,END,8,"DS. NGUBELAKA, KEC. DETUSOKO, KAB. ENDE",NGUBELAKA,DETUSOKO,ENDE,NEWTON-NAVARRO,100000012584
END-08-002,Kabupaten Ende,END,8,"REWORENA, ENDE SELATAN, ENDE",REWOWERA,ENDE SELATAN,ENDE,SAWYER-WHEELER,100000012586
END-08-003,Kabupaten Ende,END,8,NUAPU RT.04/02 KEL.KEBESANI KEC.DETUKELI,KEBESANI,DETUKELI,ENDE,BECKER-SCHMIDT,100000058791
ENR-10-001,Kabupaten Enrekang,ENR,10,"JL. POROS RAYA TORAJA,","DUSUN WAIBUT,",ENREKANG,ENREKANG,OCONNELL-LOPEZ,100000000232
ENR-10-002,Kabupaten Enrekang,ENR,10,"DUSUN GOSING,",DESA PANDUNG BATU,KEC. BARAKA,ENREKANG,ALEXANDER-JOHNSON,100000001736
ENR-10-003,Kabupaten Enrekang,ENR,10,"DUSUN GOSING,",DESA PANDUNG BATU,KEC. BARAKA,ENREKANG,"COCHRAN, WRIGHT AND WHITE",100000001737
ENR-10-004,Kabupaten Enrekang,ENR,10,DUSUN ANNUNG,DESA BANUA,KEC. BUNGIN,ENREKANG,OCONNOR PLC,100000001738
ENR-10-005,Kabupaten Enrekang,ENR,10,"DUSUN BONTONG,",DESA BARUKA,KEC. BUNGIN,ENREKANG,"ROSE, PENNINGTON AND DAVIS",100000001739
ENR-10-006,Kabupaten Enrekang,ENR,10,DUSUN SURREN DESA BUNTU BATUAN,DS BUNTU BATUAN,MALUA,ENREKANG,LYNCH-ROBERTS,100000057813
FFK-11-001,Kabupaten Fakfak,FFK,11,JL. WARAH MADE,KEL FAK-FAK TENGAH,FAK FAK,FAK FAK,"JOHNSON, MORENO AND CAMPBELL",100000001740
FFK-11-002,Kabupaten Fakfak,FFK,11,JL.SUPRAPTO,KEL FAK-FAK SELATAN,KEC. FAK-FAK SELATAN,FAK FAK,LEWIS-CARPENTER,100000001741
FFK-11-003,Kabupaten Fakfak,FFK,11,JL. CENDRAWASIH,KEL. FAK FAK,KEC. FAK FAK,FAK FAK,PETTY-RODRIGUEZ,100000012587
GDT-03-001,Kabupaten Pesawaran,GDT,3,"JL. TRI RAHAYU, RT02/RK02",DS.TRI RAHAYU,KEC. NEGRI KATON,PESAWARAN,CHAPMAN INC,100000000233
GDT-03-002,Kabupaten Pesawaran,GDT,3,DUSUN JAYA I RT002/01,DESA GERNING,KEC TEGI NENEBG,PESAWARAN,WALL INC,100000001742
GDT-03-003,Kabupaten Pesawaran,GDT,3,JL.WAY HARONG-KEDONDONG RT.03/RW.08,DESA WAY HARONG,KEC.WAY LIMA,PESAWARAN,"HOFFMAN, HARMON AND MARSHALL",100000014575
GGP-04-001,Kota Adm. Jakarta Barat,GGP,4,JL.JEMBATAN BATURT 01/05,KEL PINANGSIA,KEC: TAMAN SARI,"JAKARTA BARAT, KOTA",FORBES LLC,100000001743
GGP-04-002,Kota Adm. Jakarta Barat,GGP,4,KOMPLEK RUKO GREENVILE JLN. MANGGA 1,KEBON JERUK,KEBON JERUK,"JAKARTA BARAT, KOTA",FARRELL-THOMAS,100000001744
GGP-04-003,Kota Adm. Jakarta Barat,GGP,4,"JL. MENCENG RAYA, RT. 09/10",KEL TEGAL ALUR,KEC KALIDERES,"JAKARTA BARAT, KOTA","GRAHAM, WILLIAMS AND BROWN",100000006941
GGP-04-004,Kota Adm. Jakarta Barat,GGP,4,JL.MANGGA BESAR RAYA,"KEL. JAKARTA BARAT,","KEC. JAKARTA BARAT,","JAKARTA BARAT, KOTA","WALKER, WEBSTER AND HARRIS",100000012593
GGP-04-005,Kota Adm. Jakarta Barat,GGP,4,JL.MANGGA BESAR RAYA,"KEL. JAKARTA BARAT,","KEC. JAKARTA BARAT,","JAKARTA BARAT, KOTA","WOODWARD, BROWN AND ANDERSON",100000012594
GGP-04-006,Kota Adm. Jakarta Barat,GGP,4,JL.MANGGA BESAR RAYA,"KEL. JAKARTA BARAT,","KEC. JAKARTA BARAT,","JAKARTA BARAT, KOTA",COLLIER GROUP,100000012595
GGP-04-007,Kota Adm. Jakarta Barat,GGP,4,JL. JELAMBAR RAYA  JAKBAR,"KEL. JAKARTA BARAT,","KEC. JAKARTA BARAT,","JAKARTA BARAT, KOTA",CHAPMAN LLC,100000012598
GGP-04-008,Kota Adm. Jakarta Barat,GGP,4,MERUYA SELATAN RT 04 RW 02,KEL MERUYA SELATAN,KEC KEMBANGAN,"JAKARTA BARAT, KOTA",RICHARD-KIRK,100000014576
GGP-04-009,Kota Adm. Jakarta Barat,GGP,4,JL. DAAN MOGOT,KEL. CENGKARENG TIMUR,KEC. CENGKARENG,"JAKARTA BARAT, KOTA",BROWN-GARCIA,100000018080
GGP-04-010,Kota Adm. Jakarta Barat,GGP,4,JL. PEDONGKELAN DEPAN RT01/013,KEL. CENGKARENG TIMUR,KECAMATAN CENGKARENG,"JAKARTA BARAT, KOTA",MOSES-LEWIS,100000018084
GGP-04-011,Kota Adm. Jakarta Barat,GGP,4,JL. DAAN MOGOT RAYA,DAAN MOGOT,KEC. CENGKARENG,"JAKARTA BARAT, KOTA",JONES-SPARKS,100000018085
GGP-04-012,Kota Adm. Jakarta Barat,GGP,4,JL. KYAI TAPA,GROGOL,GROGOL,"JAKARTA BARAT, KOTA","ROBINSON, BRIGHT AND JACKSON",100000018086
GGP-04-013,Kota Adm. Jakarta Barat,GGP,4,JL. DAAN MOGOT RAYA,CENGKARENG (MALL RAMAYANA),KEC. CENGKARENG,"JAKARTA BARAT, KOTA","MAXWELL, COOLEY AND ROMERO",100000018088
GGP-04-014,Kota Adm. Jakarta Barat,GGP,4,JL. H SELONG RT/RW 13/01,KEL DURI KOSAMBI,KEC. CENGKARENG,"JAKARTA BARAT, KOTA",DAVIS-BAUTISTA,100000018605
GIN-08-001,Kabupaten Gianyar,GIN,8,JL. DENPASAR KINTAMANI BANJAR SEBATU,DESA SEBATU TEGALALANG,KINTAMANI,GIANYAR,CALHOUN-MORRISON,100000000235
GIN-08-002,Kabupaten Gianyar,GIN,8,"LAP SEPAK BOLA LABA BUANA, JL RAYA CELUK",SUKAWATI,KEC. SUKAWATI,GIANYAR,NOBLE LTD,100000000237
GIN-08-003,Kabupaten Gianyar,GIN,8,"JL. RAYA TEGALALANG, BANJAR PUJUNG KAJA","DESA. SEBATU,","KEC. TEGALALANG,",GIANYAR,RUSH AND SONS,100000000238
GIN-08-004,Kabupaten Gianyar,GIN,8,"BR. PENAKA,","DS. TAMPAK SIRING,",KEC. GIANYAR,GIANYAR,VAUGHAN LTD,100000000239
GIN-08-005,Kabupaten Gianyar,GIN,8,"JL. BR KUTUH,","DESA SAYAN,",KEC. UBUD,GIANYAR,SHAH-HODGES,100000000240
GIN-08-006,Kabupaten Gianyar,GIN,8,"BR. UBUD BELASUNG,","DESA PEJENG KAJA,",KECTAMPAK SIRING,GIANYAR,ANDERSON LTD,100000000241
GIN-08-007,Kabupaten Gianyar,GIN,8,"DUSUN BELALUAN,","DESA SINGAPADU TENGAH,",KEC. SUKAWATI,GIANYAR,JONES-MARTINEZ,100000001745
GIN-08-008,Kabupaten Gianyar,GIN,8,BR. CELUK BURUAN,BLAHBATUH,KEC. BLAHBATUH,GIANYAR,"HUNT, SMITH AND WAGNER",100000001747
GIN-08-009,Kabupaten Gianyar,GIN,8,"BANJAR TARO KELOD,","DESA. TARO,",KEC. TEGALALANG,GIANYAR,"COBB, WILCOX AND COX",100000001749
GIN-08-010,Kabupaten Gianyar,GIN,8,"JL. RAYA LOT TUNDUH, BR. SILUNGAN,","DESA LOT TUNDUH,",KEC. UBUD,GIANYAR,HOWELL GROUP,100000001750
GIN-08-011,Kabupaten Gianyar,GIN,8,JL BR CELUK BURUAN BLAHBATUH,CELUK BURUAN,BLAHBATUH,GIANYAR,RICHARDSON-TAYLOR,100000001751
GIN-08-012,Kabupaten Gianyar,GIN,8,"BANJAR SABA,","DESA SABA,",KEC. BLAHBATU,GIANYAR,"HOGAN, CHRISTENSEN AND BRYANT",100000020664
GNS-03-001,Kabupaten Lampung Tengah,GNS,3,DS.SRIMULYO RT 02 RW 07,DS.SRIMULYO,KEC.ANAK RATU AJI,LAMPUNG TENGAH,"BLACK, LITTLE AND PATEL",100000000242
GNS-03-002,Kabupaten Lampung Tengah,GNS,3,"DUSUN II JAYA SAKTI, RT.012/RW.002",DESA REJO ASRI,KEC. SEPUTIH RAHMAN,LAMPUNG TENGAH,ROSE PLC,100000000243
GNS-03-003,Kabupaten Lampung Tengah,GNS,3,DS NYUKANG HARJO RT. 02/ RW.01,DS NYUKANG HARJO,KECAMATAN SELAGAI LINGGA,LAMPUNG TENGAH,LOZANO-JACKSON,100000000244
GNS-03-004,Kabupaten Lampung Tengah,GNS,3,RT.03 RW.07,DESA LINGGAPURA,KEC. SELAGI LINGGA,LAMPUNG TENGAH,"MCKNIGHT, BOWMAN AND BROWN",100000001755
GNS-03-005,Kabupaten Lampung Tengah,GNS,3,DS 8 RT01/RW01,DESA SIMPANG GAYATRI,KEC. RUMBIA,LAMPUNG TENGAH,MARTIN-MATTHEWS,100000001757
GNS-03-006,Kabupaten Lampung Tengah,GNS,3,DUSUN TRI HARJO RT. 11 RW. 05,DESA ONOHARJO,KEC. TERBANGGI BESAR,LAMPUNG TENGAH,"MILLS, SHELTON AND BOWMAN",100000001758
GNS-03-007,Kabupaten Lampung Tengah,GNS,3,RT 01 RW 01 DUSUN 01,DESA SINAR SARI,KEC. KALIREJO,LAMPUNG TENGAH,WASHINGTON GROUP,100000001759
GNS-03-008,Kabupaten Lampung Tengah,GNS,3,DUSUN II RT.04,DESA TANJUNG KRAJAN,KECAMATAN SEPUTIH BANYAK,LAMPUNG TENGAH,"BROWN, MITCHELL AND HARRISON",100000001760
GNS-03-009,Kabupaten Lampung Tengah,GNS,3,DS. NEGARA BUMI HILIR,DS. NEGARA BUMI HILIR,KEC. PD RATU LAMTENG,LAMPUNG TENGAH,WATSON LTD,100000012602
GNS-03-010,Kabupaten Lampung Tengah,GNS,3,"RT.02/01 KP. SWASTIKA BUANA,",DUSUN EKA SARI,KEC. SEPUTIH BANYAK,LAMPUNG TENGAH,GREER AND SONS,100000014577
GNS-03-011,Kabupaten Lampung Tengah,GNS,3,JL RAYA SEPUTIH RAMAN DESA RUKTIHARJO KE,RUKTIHARJO,SEPUTIH RAMAN,LAMPUNG TENGAH,ROBERTS-CROSS,100000028238
GNS-03-012,Kabupaten Lampung Tengah,GNS,3,SIDOREJO RT.10/02 DESA SIDOREJO,DS SIDOREJO,SELAGAI LINGGA,LAMPUNG TENGAH,ROBERTS GROUP,100000048219
GNS-03-013,Kabupaten Lampung Tengah,GNS,3,DSN 05 RT.01/05 KOTA SERAI DS RENGAS,DS RENGAS,BEKRI,LAMPUNG TENGAH,SHAW LTD,100000048220
GNS-03-014,Kabupaten Lampung Tengah,GNS,3,DUSUN VII WAY KEKAH RT.02/04,DS TERBANGGI BESAR,TERBANGGI BESAR,LAMPUNG TENGAH,"CALDERON, KING AND YOUNG",100000048221
GNS-03-015,Kabupaten Lampung Tengah,GNS,3,PAYUNG BATU RT.06/02,PAYUNG BATU,PUBIAN,LAMPUNG TENGAH,OSBORN GROUP,100000057185
GNS-03-016,Kabupaten Lampung Tengah,GNS,3,NEGARA BUMI RT.01/01 DESA NEGARA BUMI,DS NEGARA BUMI,SUNGKAI TENGAH,LAMPUNG TENGAH,"UNDERWOOD, SWANSON AND JONES",100000058895
GNT-01-001,Kabupaten Padang Lawas Utara,GNT,1,JL. SABAH LOBU,DESA BATU MAMAK,BATANG ONANG,PADANG LAWAS UTARA,SOTO-SMITH,100000000245
GNT-01-002,Kabupaten Padang Lawas Utara,GNT,1,"JALAN MUJUR SLESION AEK KULIM,","DESA JAMBU TONANG,",KECAMATAN SIMANGAMBAT,PADANG LAWAS UTARA,BROWN-FOSTER,100000005167
GNT-01-003,Kabupaten Padang Lawas Utara,GNT,1,"DESA SIMANINGGIR,","DESA SIMANINGGIR,",KECAMATAN HULU SIHAPAS,PADANG LAWAS UTARA,"NICHOLS, BOONE AND WOLFE",100000005849
GNT-01-004,Kabupaten Padang Lawas Utara,GNT,1,"DESA GUNUNG TUA JULU,","DESA GUNUNG TUA JULU,",KECAMATAN PADANG BOLAK,PADANG LAWAS UTARA,"JOHNSON, FULLER AND CARTER",100000005857
GNT-01-005,Kabupaten Padang Lawas Utara,GNT,1,JL.LAP.BOLA,KEL. PADANG LAWAS UTARA,KEC. PADANG LAWAS UTARA,PADANG LAWAS UTARA,WALKER LTD,100000012604
GRG-08-001,Kabupaten Lombok Barat,GRG,8,"JLN. KRAKATAU, RT.01, DSN. MIDANG,","DS. MIDANG,",KC. GUNUNG SARI,LOMBOK BARAT,DUNN LLC,100000000248
GRG-08-002,Kabupaten Lombok Barat,GRG,8,"JL. NARMADA SASAOT,","DS. SURANADI,",KEC. NARMADA,LOMBOK BARAT,CLARK-MARQUEZ,100000000250
GRG-08-003,Kabupaten Lombok Barat,GRG,8,DSN. KARANG PANDE RT. 05,"DS. BANYUMULEK,","KC. KEDIRI,",LOMBOK BARAT,BARRERA PLC,100000000253
GRG-08-004,Kabupaten Lombok Barat,GRG,8,JL. TEGUH DATOK MANSUR RT.07/RW.03,"DESA TRONG TAWAH,",KECAMATAN LABU API,LOMBOK BARAT,"CARSON, HESTER AND KING",100000001762
GRG-08-005,Kabupaten Lombok Barat,GRG,8,"CEMARA RT.04/RW.02,","DESA DASAN GERES,",KEC. GERUNG,LOMBOK BARAT,MOSS LTD,100000001763
GRG-08-006,Kabupaten Lombok Barat,GRG,8,"DUSUN PEMANGKAT ,","DESA DASAN TERENG,",KC. NARMADA,LOMBOK BARAT,MARTIN INC,100000001764
